Configuration,Validation Accuracy,Validation F1,Loss
hybrid_resnet_amplitude_vqc,0.5358024691358024,0.42350834220748307,1.5886127185569239
hybrid_vit_qlstm,0.25925925925925924,0.13326716047809511,1.9788299790555628
hybrid_vit_iqp_qaoa,0.1111111111111111,0.02125147579693034,2.309922867855698
baseline_vit,0.8796296296296297,0.8738978524716835,0.3698146465812634
hybrid_resnet_iqp_vqc,0.2975308641975309,0.21468876145239588,2.073714207215284
baseline_resnet50,0.941358024691358,0.9391943812200674,0.11508525597355353
hybrid_resnet_angle_vqc,0.44012345679012344,0.3640283012439649,1.7041139917609132
